grant_id,grant_val
327739,R01 ES013744
327743,P30 ES023515
327747,DP2 ES025453
327751,R01 ES019222
327755,R01 ES026033
328797,P 31582
329517,R01 CA179542
329521,R01 CA204916
329723,U19 AI142725
329727,U19 AI109776
329731,R01 AI036525
329735,U54 AI057168
329739,R01 DK048373
329743,U19 AI082655
330931,UL1 TR001881
331233,P01 HD070454
331237,R01 HL084410
331241,R01 HL088698
331295,MR/R010161/1
331299,093368/Z/10/Z
331303,098481/Z/12/Z
331911,099310/Z/12/Z
332295,ANR-12-BSV5-0025-Bactox1
332299,642738
332303,ANR-12-BSV6-0007- asSUPYCO
332307,U1212
332311,UMR 5320
332315,ANR-12-BSV6-007- asSUPYCO
332517,R21 AG056930
332521,1R01AG059595
332525,R01 AG059595
332529,1R01AG059595
332533,R01 AG044346
332537,1R01AG044346
332541,1R01AG044346
332705,R01 NS096151
332709,R21 NS101469
332713,1R21NS101469
332717,1R01NS096151
332833,Graduate Fellowship
332837,Bipolar Disorder Seed Grant
332841,Stuart HQ and Victoria Quan Fellowship in Neurobiology
332845,R01 NS103226
332849,MH100568
332853,NS103226
332857,Samsung Scholarship
332861,Lefler Center for the Study of Neurodegenerative Disorder
332991,Simons Collaboration on the Global Brain
332995,Pew Scholars
332999,Scholar Award
333003,Marie Robertson
333007,1559816
333011,Pew Scholars
333015,Scholar award
333105,European Research Commission
334365,001
334369,MR/R015600/1
335395,R01 MD007658
335399,UG1 DA040317
335549,001
336505,MC_UU_00027/2
336509,MR/K012126/1
336513,MR/P008852/1
336517,MR/R010161/1
337117,R01 HL119047
337121,R01 HL114978
337125,P01 HL131481
337129,R01 HL129433
337133,T32 HL098129
337137,R01 HL111932
337141,R01 HL127173
337145,P30 HL101270
337149,R01 DK105965
337153,R00 HL088528
337157,R01 EY001711
337161,P01 HL116263
337165,R01 HL117226
337169,K22 HL113039
337173,R01 HL128996
337177,R35 HL135799
337481,FS/12/8/29377
337779,107467
337783,MC_UU_12019/1
338003,K23 NS092973
338493,19POST34380005
338589,R01 NS093998
338663,DP2 MH119735
338667,R00 MH104605
339409,RP-PG-0615-20002
349999,DP2 OD006481
350003,R35 GM122561
353815,R01 AG038961
353819,R01 EB009041
357039,R01 CA217179
357043,R01 CA222903
357047,T32 NS048039
357701,R01 CA130908
357705,R01 CA134514
357709,R01 CA193239
357713,R01 CA203849
358447,R01 AG053503
358451,R01 AG057536
358455,T32 GM007205
358459,U01 AG024904
362449,K99 HD084746
362453,R00 HD084746
362457,R01 DA036028
362461,T32 DA028874
363907,K01 NR015246
370477,R01 DA034547
376765,R37 AI079059
376769,R01 AI079059
376773,P30 GM110703
376777,R01 AI103311
376781,R01 AI143191
376899,P01 GM096971
376903,U01 CA202123
377089,P30 CA016672
377093,R01 CA047296
377331,K12 NS080223
377335,R01 NS107550
377339,TL1 TR001880
377647,P01 GM121203
377651,R01 GM080139
377655,U24 GM116789
377821,R01 GM069415
378027,F32 GM117765
378031,R01 GM058822
378035,R01 GM079038
378039,R37 GM058822
378223,UL1 TR001863
378227,T32 GM007287
378231,R01 CA185020
378235,U54 CA126515
378239,P30 CA014051
378567,R01 GM026017
378957,P01 CA100324
378961,P30 CA013330
378965,R01 GM119279
378969,T32 AG023475
379245,F31 CA217153
379249,K01 OD021419
379253,R01 HL137093
381113,T32 DA007262
381117,I01 BX002758
382463,R01 CA190040
382467,R01 DK118250
382471,U01 CA184826
382801,MC_PC_17210
382805,WT101597MA
382809,MR/N024397/1
382979,G0802441
383167,201704020009
383303,PI15/01159
383307,Precipita
383311,PFNR0004
383315,FPNR0004
383319,PFNR0004
383431,AFR 8832104
383435,na
383439,na
383443,na
383447,na
383451,#HL130113
383455,na
383459,Luxembourg
383463,RO1-HL22547
383467,na
383471,200647
383475,na
383479,na
383483,na
383631,51674031
383635,51874022
383855,530 11SYN_2_1265
384113,NRF-2018R1A2B6003437
384323,2016C02055-1
384409,Deanship/121/2019
384487,Grant-in-Aid for Scientific Research (C) (no. 19K05578)
384491,Leading Initiative for Excellent Young Researchers (LEADER)
384495,Grant-in-Aid for Young Scientists (A) (no. 15H05432).
385031,2018ZX09711001-008-007
385035,2016-I2M-3-016
385327,Niedersachsen-Research Network on Neuroinfectiology (N-RENNT)
385417,163020115
385421,SBK2019044425
385425,NSFC2191101196
385531,n/a
385643,PTDC/QEQ-QOR/3644/2014
385647,UID/DTP/04138/2013
385849,"HHSN272201400053C, HHSN272201800044C"
386127,51671215; 51874103
386249,АР05132358
386441,80NSSC17C0035
386651,Plan Propio de Investigación (2019)
386839,NRF-2016H1A2A1907938
387183,2012-08
387187,"S13-12, 2012"
388073,P 29893
390181,F 4704
390947,MOP-130332
390951,PJT-159666
390955,CFC 2634
390959,MOP-133451
